"sepal,length","sepal,width",petal.length,petal.width,variety
"5,1","3,5",1;4,0.2,Setosa
"4,9",3,1;4,0.2,Setosa
"4,7","3,2",1;3,0.2,Setosa
"4,6","3,1",1;5,0.2,Setosa
5,"3,6",1;4,0.2,Setosa
"5,4","3,9",1;7,0.4,Setosa
"4,6","3,4",1;4,0.3,Setosa
5,"3,4",1;5,0.2,Setosa
"4,4","2,9",1;4,0.2,Setosa
"4,9","3,1",1;5,0.1,Setosa
"5,4","3,7",1;5,0.2,Setosa
"4,8","3,4",1;6,0.2,Setosa
"4,8",3,1;4,0.1,Setosa
"4,3",3,1;1,0.1,Setosa
"5,8",4,1;2,0.2,Setosa
"5,7","4,4",1;5,0.4,Setosa
"5,4","3,9",1;3,0.4,Setosa
"5,1","3,5",1;4,0.3,Setosa
"5,7","3,8",1;7,0.3,Setosa
"5,1","3,8",1;5,0.3,Setosa
"5,4","3,4",1;7,0.2,Setosa
"5,1","3,7",1;5,0.4,Setosa
"4,6","3,6",1,0.2,Setosa
"5,1","3,3",1;7,0.5,Setosa
"4,8","3,4",1;9,0.2,Setosa
5,3,1;6,0.2,Setosa
5,"3,4",1;6,0.4,Setosa
"5,2","3,5",1;5,0.2,Setosa
"5,2","3,4",1;4,0.2,Setosa
"4,7","3,2",1;6,0.2,Setosa
"4,8","3,1",1;6,0.2,Setosa
"5,4","3,4",1;5,0.4,Setosa
"5,2","4,1",1;5,0.1,Setosa
"5,5","4,2",1;4,0.2,Setosa
"4,9","3,1",1;5,0.2,Setosa
5,"3,2",1;2,0.2,Setosa
"5,5","3,5",1;3,0.2,Seto
"4,9","3,6",1;4,0.1,Seto
"4,4",3,1;3,0.2,Seto
"5,1","3,4",1;5,0.2,Seto
5,"3,5",1;3,0.3,Seto
"4,5","2,3",1;3,0.3,Seto
"4,4","3,2",1;3,0.2,Seto
5,"3,5",1;6,0.6,Seto
"5,1","3,8",1;9,0.4,Seto
"4,8",3,1;4,0.3,Seto
"5,1","3,8",1;6,0.2,Seto
"4,6","3,2",1;4,0.2,Seto
"5,3","3,7",1;5,0.2,Seto
5,"3,3",1;4,0.2,Seto
7,"3,2",4;7,1.4,Versicolor
"6,4","3,2",4;5,1.5,Versicolor
"6,9","3,1",4;9,1.5,Versicolor
"5,5","2,3",4,1.3,Versicolor
"6,5","2,8",4;6,1.5,Versicolor
"5,7","2,8",4;5,1.3,Versicolor
"6,3","3,3",4;7,1.6,Versicolor
"4,9","2,4",3;3,1,Versicolor
"6,6","2,9",4;6,1.3,Versicolor
"5,2","2,7",3;9,1.4,Versicolor
